computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill
Laposka		54	female	20	noASRT	noPattern	1	1	1	1	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,43673720000015237	0	3	3	none	none
Laposka		54	female	20	noASRT	noPattern	1	1	1	2	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3569032000000334	0	4	4	none	none
Laposka		54	female	20	noASRT	noPattern	1	1	1	3	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,34064680000005865	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	4	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3568314999999984	0	4	4	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	5	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3488012999998773	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	6	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,32554030000005696	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	7	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3404074000000037	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	8	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,35624989999996615	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	9	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2848815999998351	0	3	3	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	10	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,284866399999828	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	11	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,29290949999995064	0	3	3	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	12	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3653798000000279	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	13	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,33202860000005785	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	14	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,37285519999977623	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	15	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,31681190000017523	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	16	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,31663129999992634	0	4	4	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	17	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,30888900000013564	0	4	4	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	18	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,31693079999990914	0	4	4	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	19	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4448732000000746	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	20	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2688472999998339	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	21	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3653689000000213	1	1	2	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	22	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,5329366000000846	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	23	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,22082560000012563	1	1	2	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	24	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4366920999998456	0	4	4	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	25	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3649398000000019	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	26	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4528136999999788	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	27	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,284791499999983	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	28	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4768649000000096	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	29	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,4048706000000948	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	30	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,2688944999999876	1	2	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	31	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,38088519999996606	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	32	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,32478439999999864	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	33	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,444752200000039	0	2	2	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	34	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3645819999999276	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	35	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,5889156999999159	0	3	3	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	36	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,40488460000005944	0	1	1	False	True
Laposka		54	female	20	noASRT	noPattern	1	1	1	37	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,32455189999996037	0	1	1	False	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	38	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,37276760000008835	0	1	1	True	False
Laposka		54	female	20	noASRT	noPattern	1	1	1	39	59,92846937897179	16,673076470588132	0,290030457606921	Gold	random	none	0,3489248000000771	0	4	4	False	False
