computer_name	subject_group	subject_number	subject_sex	subject_age	asrt_type	PCode	session	epoch	block	trial	frame_rate	frame_time	frame_sd	stimulus_color	trial_type_pr	triplet_type_hl	RT	error	stimulus	response	repetition	trill	high_low_learning
Laposka		44	female	21	implicit	1432	1	1	1	1	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	none	0,5456468999909703	0	2	2	none	none	none
Laposka		44	female	21	implicit	1432	1	1	1	2	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	none	0,47129839999252	0	4	4	none	none	none
Laposka		44	female	21	implicit	1432	1	1	1	3	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,4809120999998413	0	4	4	False	False	low
Laposka		44	female	21	implicit	1432	1	1	1	4	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,4785262999939732	0	2	2	False	False	low
Laposka		44	female	21	implicit	1432	1	1	1	5	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,42324219999136403	0	4	4	False	True	low
Laposka		44	female	21	implicit	1432	1	1	1	6	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,3907081999932416	0	1	1	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	7	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,43120369999087416	1	4	2	False	True	low
Laposka		44	female	21	implicit	1432	1	1	1	8	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,3594726000155788	0	4	4	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	9	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	1,0710569999937434	0	2	2	False	False	low
Laposka		44	female	21	implicit	1432	1	1	1	10	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,36814920001779683	0	3	3	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	11	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,4073637999827042	0	4	4	False	False	low
Laposka		44	female	21	implicit	1432	1	1	1	12	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,3990429999830667	0	2	2	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	13	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,4553334999945946	0	4	4	False	True	low
Laposka		44	female	21	implicit	1432	1	1	1	14	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,3512914000020828	0	1	1	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	15	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,4072673000046052	0	1	1	False	False	low
Laposka		44	female	21	implicit	1432	1	1	1	16	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,5831238999962807	0	4	4	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	17	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,3989012000092771	0	3	3	False	False	low
Laposka		44	female	21	implicit	1432	1	1	1	18	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,29518850002205	0	3	3	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	19	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,5031045000068843	0	4	4	False	False	low
Laposka		44	female	21	implicit	1432	1	1	1	20	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	pattern	high	0,39117310001165606	0	2	2	False	False	high
Laposka		44	female	21	implicit	1432	1	1	1	21	59,98764254232577	16,67375966393929	0,07124114886318153	Gold	random	low	0,41510859999107197	0	4	4	False	True	low
