,subject,sex,date_of_birth,education_years,date_of_experiment,to_drop,s1_asrt_type,s2_asrt_type,s1_sequence_type,s2_sequence_type,is_changing_seq,is_changing_task,group,condition,age
0,2,female,2006-02-24,érettségi,2024-10-01,0,perceptuo,motoros,4,4,0,1,1,2,18
1,3,female,2002-07-09,érettségi,2024-10-02,0,perceptuo,motoros,3,3,0,1,1,2,22
2,4,female,2003-07-31,érettségi,2024-10-03,0,motoros,perceptuo,5,5,0,1,1,1,21
3,5,female,2005-11-01,érettségi,2024-10-03,0,perceptuo,motoros,4,4,0,1,1,2,18
4,6,female,2003-05-16,érettségi,2024-10-04,0,perceptuo,motoros,2,2,0,1,1,2,21
5,7,female,2000-04-08,érettségi,2024-10-06,0,motoros,perceptuo,3,3,0,1,1,1,24
6,8,female,2002-03-12,16,2024-10-08,0,motoros,perceptuo,2,2,0,1,1,1,22
7,9,female,2001-12-29,13,2024-10-08,0,perceptuo,motoros,6,6,0,1,1,2,22
8,11,female,1979-09-21,12,2024-10-08,0,motoros,perceptuo,1,2,1,1,2,3,45
9,13,female,2004-08-08,14,2024-10-10,0,motoros,perceptuo,6,2,1,1,2,3,20
10,14,female,2005-01-15,12,2024-10-10,0,motoros,perceptuo,4,4,0,1,1,1,19
11,16,female,2003-09-20,14,2024-10-15,0,perceptuo,motoros,6,6,0,1,1,2,21
12,17,female,2004-09-13,13,2024-10-15,0,perceptuo,motoros,6,6,0,1,1,2,20
13,19,male,2004-11-15,13,2024-10-17,0,motoros,perceptuo,5,5,0,1,1,1,19
14,20,male,2004-06-23,12,2024-10-17,0,motoros,motoros,,3,0,0,3,5,20
15,21,female,2004-06-25,13,2024-10-20,0,perceptuo,motoros,1,1,0,1,1,2,20
16,22,female,2004-11-28,13,2024-10-20,0,motoros,perceptuo,1,1,0,1,1,1,19
17,23,male,2004-01-18,14,2024-10-20,0,motoros,perceptuo,1,1,0,1,1,1,20
18,24,male,1992-06-04,15,2024-10-22,0,perceptuo,perceptuo,,3,0,0,3,6,32
19,25,female,2000-11-08,17,2024-10-22,0,motoros,perceptuo,6,4,1,1,2,3,23
20,26,female,2003-09-10,13,2024-10-22,0,perceptuo,perceptuo,,2,0,0,3,6,21
21,27,female,2005-04-23,12,2024-10-22,0,motoros,motoros,,4,0,0,3,5,19
22,28,female,2003-07-09,12,2024-10-23,0,perceptuo,motoros,6,3,1,1,2,4,21
23,29,female,2004-09-25,12,2024-10-24,0,motoros,perceptuo,4,6,1,1,2,3,20
24,30,female,2004-12-01,13,2024-10-24,0,motoros,perceptuo,3,3,0,1,1,1,19
25,31,female,2004-05-03,13,2024-10-24,0,motoros,perceptuo,6,6,0,1,1,1,20
26,32,male,1999-03-19,16,2024-10-26,0,motoros,perceptuo,3,3,0,1,1,1,25
27,33,female,2000-11-22,16,2024-10-26,0,perceptuo,motoros,1,1,0,1,1,2,23
28,34,female,2003-10-22,15,2024-10-27,0,motoros,motoros,,1,0,0,3,5,21
29,35,female,2003-08-13,13,2024-10-29,0,perceptuo,perceptuo,,5,0,0,3,6,21
30,36,female,2000-10-13,15,2024-10-29,0,perceptuo,motoros,3,1,1,1,2,4,24
31,37,female,2004-04-13,15,2024-11-01,0,motoros,motoros,,1,0,0,3,5,20
32,39,female,2000-05-03,17,2024-11-01,0,motoros,perceptuo,2,2,0,1,1,1,24
33,40,female,2003-05-28,15,2024-11-03,0,motoros,perceptuo,4,4,0,1,1,1,21
34,41,female,2005-09-22,12,2024-11-05,0,perceptuo,perceptuo,,3,0,0,3,6,19
35,42,female,2002-09-10,12,2024-11-05,0,perceptuo,motoros,3,2,1,1,2,4,22
36,43,female,2000-11-19,15,2024-11-05,0,motoros,perceptuo,1,2,1,1,2,3,23
37,44,female,2003-09-12,12,2024-11-05,0,motoros,perceptuo,3,6,1,1,2,3,21
38,45,female,2004-12-20,13,2024-11-07,0,perceptuo,motoros,5,5,0,1,1,2,19
39,46,male,2005-07-04,12,2024-11-07,0,motoros,motoros,,4,0,0,3,5,19
40,47,female,2004-04-22,14,2024-11-07,0,perceptuo,motoros,2,2,0,1,1,2,20
41,48,female,2004-01-02,14,2024-11-07,0,motoros,motoros,,2,0,0,3,5,20
42,49,female,2001-08-29,16,2024-11-07,0,motoros,perceptuo,1,3,1,1,2,3,23
43,50,female,2003-12-26,12,2024-11-12,0,motoros,perceptuo,6,6,0,1,1,1,20
44,53,female,2004-07-22,12,2024-11-13,0,motoros,perceptuo,3,4,1,1,2,3,20
45,61,female,2006-05-13,13,2024-11-19,0,perceptuo,motoros,1,5,1,1,2,4,18
46,62,female,2001-09-06,18,2024-11-19,0,perceptuo,motoros,1,2,1,1,2,4,23
47,64,female,2001-07-19,15,2024-11-21,0,perceptuo,perceptuo,,6,0,0,3,6,23
48,65,female,2004-09-02,13,2024-11-27,0,perceptuo,perceptuo,,5,0,0,3,6,20
49,66,male,2003-06-02,érettségi,2024-11-27,0,motoros,perceptuo,2,2,0,1,1,1,21
50,67,female,2003-07-05,érettségi 15 év,2024-11-27,0,perceptuo,perceptuo,,3,0,0,3,6,21
51,68,female,2004-03-08,érettségi 14 év,2024-11-27,0,motoros,perceptuo,1,1,0,1,1,1,20
52,69,female,2004-10-19,13,2024-11-28,0,motoros ,perceptuo,1,1,0,1,1,1,20
53,70,female,2002-11-25,15,2024-11-29,0,perceptuo,motoros,3,4,1,1,2,4,22
54,71,female,2004-08-26,13,2024-11-30,0,motoros,perceptuo,5,1,1,1,2,3,20
55,72,female,1999-01-29,16 (BA),2024-11-30,0,motoros,perceptuo,6,6,0,1,1,1,25
56,74,female,2004-01-09,14,2024-12-05,0,motoros,motoros,,6,0,0,3,5,20
57,75,female,2003-09-29,14,2024-12-10,0,perceptuo,perceptuo,,4,0,0,3,6,21
58,76,female,2002-08-13,15,2024-12-11,0,motoros,perceptuo,6,3,1,1,2,3,22
59,77,female,2005-10-09,13,2024-12-12,0,perceptuo,motoros,2,2,0,1,1,2,19
60,78,male,2004-05-01,14,2024-11-12,0,motoros,motoros,,4,0,0,3,5,20
61,79,male,2004-11-12,13,2024-11-12,0,perceptuo,motoros,1,5,1,1,2,4,20
62,80,male,2001-06-28,17,2024-12-12,0,motoros,motoros,,2,0,0,3,5,23
63,81,male,2002-07-30,15,2024-12-14,0,perceptuo,motoros,6,4,1,1,2,4,22
64,82,female,2004-03-08,13,2024-12-14,0,perceptuo,motoros,6,2,1,1,2,4,20
65,83,female,2004-04-29,14,2024-12-14,0,motoros,motoros,,3,0,0,3,5,20
66,84,female,2005-03-16,13,2024-12-14,0,perceptuo,motoros,1,3,1,1,2,4,19
67,85,female,2000-05-18,17,2024-12-14,0,motoros,motoros,,4,0,0,3,5,24
68,86,female,2004-01-27,15,2024-12-16,0,perceptuo,motoros,3,4,1,1,2,4,20
69,87,female,2004-11-08,13,2024-12-15,0,perceptuo,motoros,4,6,1,1,2,4,20
70,88,female,2003-08-22,15,2024-12-19,0,perceptuo,perceptuo,,2,0,0,3,6,21
71,89,female,2004-08-19,13,2024-12-21,0,perceptuo,motoros,6,6,0,1,1,2,20
